organization_id,supervising_agency_id,agency_id,bureau_office,division,department,section,team,unit
1,1,1,内閣人事局,,,,,
2,14,14,戦略・組織,政府ＤＸ担当,,,,
3,14,14,国民向けサービス,,,マイナンバーカード広報班,,
4,14,14,省庁業務サービス,政府共通プラットフォーム担当,,,,
5,14,14,省庁業務サービス,電子決裁システム担当,,,,
6,14,14,省庁業務サービス,ｅーＬＡＷＳ／共通情報検索システム担当,,,,
7,14,14,デジタル社会共通機能,,,トラスト担当　政府認証基盤（ＧＰＫＩ）班,,
8,14,14,国民向けサービス,,,ｅーＧｏｖ班,,
9,14,14,省庁業務サービス,政府共通ネットワーク担当,,,,
10,14,14,省庁業務サービス,旅費等内部管理業務共通システム担当,,,,
11,14,14,国民向けサービス,,,ＧビズＩＤ班,,
12,14,14,国民向けサービス,,,Ｊグランツ班,,
13,1,1,副長官補付,国土強靭化推進室,,,,
14,1,1,副長官補付,領土・主権対策企画調整室,,,,
15,1,1,副長官補付,健康・医療戦略室,,,,
16,1,1,副長官補付,水循環政策本部事務局,,,,
17,1,1,副長官補付,新しい地方経済・生活環境創生本部事務局,,,,
18,1,1,副長官補付,産業遺産の世界遺産登録推進室担当,,,,
19,1,1,副長官補付,ギャンブル等依存症対策推進本部事務局,,,,
20,1,1,内閣感染症危機管理統括庁,,,,,
21,1,1,副長官補付（事態）,,,,,
22,1,1,広報室,,,,,
23,1,1,室,室２,,,,
24,1,1,内閣サイバーセキュリティセンター,,,,,
25,8,8,警察庁,人身安全・少年課,生活安全局,,,
26,14,14,国民向けサービス,,,カード自治体利用推進班,,
27,14,14,デジタル社会共通機能,（旧）基準・標準担当,,,ベースレジストリ班,
28,1,1,副長官補付,特定複合観光施設区域整備推進室,,,,
29,1,1,副長官補付,地理空間情報活用推進室,,,,
30,1,1,副長官補付,国際博覧会推進本部事務局,,,,
31,1,1,副長官補付,孤独・孤立対策担当室,,,,
32,4,4,大臣官房,公文書管理課,,,,
33,4,4,大臣官房,政府広報室,,,,
34,4,4,大臣官房,アイヌ施策推進室,,,,
35,4,4,政策統括官（経済財政運営担当）,参事官（予算編成基本方針担当）,,,,
36,4,4,政策統括官（経済財政運営担当）,対日直接投資推進室,,,,
37,4,4,政策統括官（経済財政運営担当）,道州制特区担当室,,,,
38,4,4,政策統括官（経済社会システム担当）,民間資金等活用事業推進室,,,,
39,4,4,政策統括官（共生・共助担当）,政策統括官（共生・共助担当）　参事官（共助社会づくり推進担当）,,,,
40,4,4,政策統括官（共生・共助担当）,政策統括官（共生・共助担当）　休眠預金等活用担当室,,,,
41,4,4,政策統括官（経済財政分析担当）,参事官（総括担当）,,,,
42,4,4,政策統括官（経済財政分析担当）,参事官（地域担当）,,,,
43,4,4,政策統括官（経済財政分析担当）,参事官（海外担当）,,,,
44,4,4,政策統括官（経済財政分析担当）,地方創生推進室,,,,
45,4,4,地方創生推進事務局,,,,,
46,4,4,科学技術・イノベーション推進事務局,参事官（重要課題担当）,,,,
47,4,4,科学技術・イノベーション推進事務局,,,日本医療研究開発機構担当室,,
48,4,4,科学技術・イノベーション推進事務局,参事官（事業推進総括担当）,,,,
49,4,4,大臣官房,遺棄化学兵器処理担当室,,,,
50,4,4,政策統括官（防災担当）,参事官（普及啓発・連携担当）,,,,
51,4,4,政策統括官（防災担当）,参事官（地方・訓練担当）,,,,
52,4,4,政策統括官（防災担当）,参事官（被災者生活再建担当）,,,,
53,4,4,政策統括官（防災担当）,参事官（避難生活担当）,,,,
54,4,4,政策統括官（防災担当）,参事官（調査・企画担当）,,,,
55,4,4,政策統括官（防災担当）,参事官（災害緊急事態対処担当）,,,,
56,4,4,政策統括官（防災担当）,参事官（復旧・復興担当）,,,,
57,1,1,副長官補付,船舶活用医療推進本部設立準備室,,,,
58,4,4,政策統括官（防災担当）,参事官（防災計画担当）,,,,
59,4,4,政策統括官（原子力防災担当）,参事官（総括担当）,,,,
60,4,4,政策統括官（原子力防災担当）,参事官（企画・国際担当）,,,,
61,4,4,政策統括官（原子力防災担当）,参事官（総合調整・訓練担当）,,,,
62,4,4,政策統括官（沖縄政策担当）,参事官（企画担当）,,,,
63,4,4,沖縄振興局,総務課,,事業振興室,,
64,4,4,沖縄振興局,参事官（特定事業担当）,,,,
65,4,4,沖縄振興局,参事官（振興第一担当）,,,,
66,4,4,沖縄振興局,参事官（振興第三担当）,,,,
67,4,4,沖縄振興局,参事官（振興第二担当）,,,,
68,4,4,政策統括官（沖縄政策担当）,参事官（政策調整担当）,,,,
69,4,4,沖縄振興局,参事官（調査金融担当）,,,,
70,4,4,沖縄振興局,総務課,,沖縄科学技術大学院大学室,,
71,4,4,沖縄振興局,参事官（特定事業担当）,,,,特定事業第１担当主査
72,4,4,政策統括官（沖縄政策担当）,参事官（総括担当）,,,,
73,4,4,政策統括官（沖縄政策担当）,参事官（産業振興担当）,,,,
74,4,4,政策統括官（共生・共助担当）,参事官（高齢社会対策担当）,,,,
75,4,4,政策統括官（共生・共助担当）,参事官（総合調整担当）,,,,
76,4,4,政策統括官（共生・共助担当）,参事官（障害者施策担当）,,,,
77,4,4,政策統括官（共生・共助担当）,参事官（交通安全対策担当）,,,,
78,4,4,政策統括官（共生・共助担当）,参事官（青年国際交流担当）,,,,
79,4,4,男女共同参画局,総務課,,,,
80,4,4,男女共同参画局,推進課,,,,
81,4,4,食品安全委員会,評価第一課,事務局,,,
82,4,4,男女共同参画局,仕事と生活の調和推進室,,,,
83,4,4,食品安全委員会,情報・勧告広報課,事務局,,,交流係
84,4,4,大臣官房,会計課,,,,営繕係
85,4,4,公益認定等委員会,,事務局,,,
86,4,4,経済社会総合研究所,国民経済計算部,,企画調査課,,
87,4,4,経済社会総合研究所,経済研修所,,,,
88,4,4,迎賓館,運営課,,,,
89,4,4,迎賓館,京都事務所,,,,
90,4,4,宇宙開発戦略推進事務局,,,,,
91,4,4,北方対策本部,,,,,
92,4,4,総合海洋政策推進事務局,,,,,
93,4,4,国際平和協力本部,参事官,事務局,,,
94,4,4,日本学術会議,参事官（国際業務担当）,事務局,,,国際業務総括専門職
95,4,4,日本学術会議,企画課,事務局,,,
96,4,4,官民人材交流センター,総務課,,,,
97,4,4,科学技術・イノベーション推進事務局,参事官（未来革新研究推進担当）,,,,
98,4,4,大臣官房,拉致被害者等支援担当室,,,,
99,4,4,政策統括官（経済財政運営担当）,参事官（総括担当）,,,,
100,4,4,政策統括官（経済財政運営担当）,参事官（国際経済担当）,,,,
101,4,4,政策統括官（経済社会システム担当）,参事官（総括担当）,,,,
102,4,4,政策統括官（経済財政分析担当）,参事官（企画担当）,,,,
103,4,4,政策統括官（経済財政分析担当）,計量分析室,,,,
104,4,4,科学技術・イノベーション推進事務局,参事官（総括担当）,,,,
105,4,4,科学技術・イノベーション推進事務局,参事官（イノベーション推進担当）,,,,
106,4,4,科学技術・イノベーション推進事務局,参事官（統合戦略担当）,,,,
107,4,4,科学技術・イノベーション推進事務局,参事官（大学改革・ファンド担当）,,,,
108,4,4,健康・医療戦略推進事務局,,,,,
109,4,4,賞勲局,総務課,,,,
110,4,4,北方対策本部,参事官,,,,総務係
111,4,4,迎賓館,,,,,
112,4,4,知的財産戦略推進事務局,,,,,
113,4,4,経済社会総合研究所,総務部,,総務課,,
114,4,4,政策統括官（重要土地担当）,,,,,
115,29,29,医政局,医事課,,医師等医療従事者働き方改革推進室,,企画係
116,4,4,男女共同参画局,男女間暴力対策課,,,,
117,9,9,事務局,参事官（個人情報）,,,,
118,9,9,事務局,総務課,,,,
119,8,8,警察庁,生活安全企画課,生活安全局,,,
120,8,8,警察庁,人事課,長官官房,（教養）,,
121,8,8,警察庁,技術企画課,長官官房,,,
122,8,8,警察庁,通信基盤課,長官官房,,,
123,8,8,警察庁,サイバー企画課,サイバー警察局,,,
124,29,29,職業安定局,障害者雇用対策課,,,,
125,8,8,警察庁,会計課　装備室,長官官房,,,
126,8,8,警察庁,会計課,長官官房,,,
127,24,24,大臣官房,文書課,,広報室,,
128,8,8,警察庁,犯罪鑑識官,刑事局,,,
129,8,8,警察庁,刑事企画課,刑事局,,,
130,8,8,,,,,,
131,8,8,警察庁,組織犯罪対策第一課,刑事局組織犯罪対策部,,,
132,8,8,警察庁,組織犯罪対策第二課,刑事局組織犯罪対策部,,,
133,8,8,警察庁,交通企画課,交通局,,,
134,8,8,警察庁,交通指導課,交通局,,,
135,8,8,警察庁,交通規制課,交通局,,,
136,8,8,警察庁,警備企画課,警備局,,,
137,8,8,警察庁,警備第一課,警備局警備運用部,,,
138,8,8,警察庁,警備第三課,警備局警備運用部,,,
139,8,8,皇宮警察本部,会計課,,,,
140,8,8,警察庁,犯罪被害者等施策推進課,長官官房,,,
141,8,8,警察庁,サイバー捜査課,サイバー警察局,,,
142,8,8,科学警察研究所,会計課,総務部,,,
143,8,8,警察庁,国際捜査管理官,刑事局組織犯罪対策部,,,
144,8,8,警察庁,企画課,長官官房,,,
145,11,11,監督局,総務課,,人材マッチング推進室,,
146,11,11,総合政策局,リスク分析総括課,,,,
147,11,11,監督局,総務課,,信用機構対応室,,
148,11,11,監督局,銀行第二課,,地域金融企画室,,
149,11,11,総合政策局,リスク分析総括課,,フィンテック参事官室,,
150,12,12,,消費者政策課,,,,
151,11,11,総合政策局,総合政策課,,,,
152,16,16,自治行政局,地域自立応援課,,,,
153,16,16,自治行政局,国際室,,,,
154,11,11,企画市場局,総務課,,,,総務係
155,11,11,総合政策局,総務課,,審判手続室,,
156,11,11,企画市場局,企業開示課,,,,
157,11,11,公認会計士・監査審査会事務局,総務試験課,,,,
158,11,11,総合政策局,リスク分析総括課,,ＩＴサイバー・経済安全保障監理官室,,
159,11,11,総合政策局,総合政策課,,研究開発室,,
160,11,11,監督局,総務課,,監督調査室,,
161,11,11,総合政策局,総務課,,国際室,,グローバル金融連携係
162,11,11,総合政策局,総務課,,国際室,,国際協力係
163,11,11,総合政策局,総務課,,国際室,,国際企画第２係
164,11,11,総合政策局,,,ＩＦＩＡＲ戦略企画本部　ＩＦＩＡＲ戦略企画室,,
165,11,11,総合政策局,総務課,,国際室,,
166,11,11,総合政策局,総務課,,国際室,,国際保険第１係
167,11,11,総合政策局,総務課,,国際資金洗浄対策室,,
168,11,11,総合政策局,総務課,,国際室,,総括係
169,12,12,,参事官（調査研究・国際担当）,,,,
170,12,12,,消費者制度課,,,,
171,12,12,,消費者教育推進課,,,,
172,12,12,,参事官（公益通報・協働担当）,,,,
173,12,12,,表示対策課,,,,
174,12,12,,地方協力課,,,,
175,12,12,,消費者安全課,,,,
176,12,12,,消費者安全課,,事故調査室,,
177,12,12,,取引対策課,,,,
178,15,15,,,,,予算会計企画班,
179,12,12,,食品表示課,,,,
180,15,15,,,,,復興特区班,
181,15,15,,,,,被災者支援・医療福祉班,
182,15,15,,,,,原子力災害復興班/福島地域担当,
183,15,15,,,,,原子力災害復興班/加速化交付金担当,
184,15,15,,,,,復興知見班,
185,15,15,,,,,原子力災害復興班/福島予算計画担当,
186,15,15,,,,,福島国際研究教育機構室,
187,38,38,海事局,安全政策課,,,,
188,26,26,国立教育政策研究所,データ基盤課,教育データサイエンスセンター,,,
189,16,16,行政管理局,調査法制課,,,,
190,16,16,行政評価局,総務課,,,,
191,16,16,自治行政局,行政課,,総務室,,
192,16,16,自治行政局,行政課,,,,
193,16,16,自治行政局,市町村課,,行政経営支援室,,
194,16,16,自治行政局,公務員課,公務員部,応援派遣室,,
195,16,16,自治行政局,住民制度課,,デジタル基盤推進室,,
196,16,16,自治行政局,地域政策課,,,,
197,16,16,自治行政局,地域自立応援課,,過疎対策室,,
198,16,16,自治行政局,管理課,選挙部,,,選挙管理第二係
199,16,16,自治行政局,地域自立応援課,,地域振興室,,
200,16,16,自治税務局,企画課,,総務室,,人事係
201,16,16,大臣官房,企画課,,サイバーセキュリティ・情報化推進室,,
202,16,16,情報流通行政局,地域通信振興課,,デジタル経済推進室,,
203,16,16,自治行政局,地域政策課,,地域情報化企画室,,
204,16,16,大臣官房,総務課,,管理室,,
205,16,16,国際戦略局,技術政策課,,,,
206,16,16,国際戦略局,通信規格課,,,,
207,14,14,戦略・組織,人事担当,,各省向け人材育成班,,
208,16,16,自治行政局,住民制度課,,,,
209,16,16,自治行政局,管理課,選挙部,,,
