id,name
1,全国
2,日本
3,国際
4,アジア
5,アフリカ
6,世界
7,日本全国
8,地方
9,都道府県・政令市
10,海外主要国
11,国内
12,海外
13,地域
14,国内地域
15,過疎地域
16,大阪府
17,関西地方
18,国際社会
19,北海道
20,道州制特別区域
21,各地方
22,離島
23,中山間地域
24,東京圏
25,特定の地域
26,人口減少・高齢化が深刻な地域
27,国家戦略特別区域
28,都市部
29,特定地域
30,茨城県
31,石川県
32,長野県
33,岡山県
34,福島県
35,長崎県
36,宮城県
37,熊本県
38,各地域
39,都市
40,人口急減地域
41,中華人民共和国
42,全世界
43,東京都
44,神奈川県
45,東京湾臨海部
46,沿岸地域
47,離島地域
48,原子力施設周辺地域
49,原子力発電所周辺地域
50,過疎地
51,山間地
52,沖縄県
53,北部地域
54,都道府県
55,市町村
56,本県
57,沖縄
58,沖縄県北部地域
59,沖縄の離島
60,グローバル
61,アジア太平洋地域
62,米国
63,宇宙
64,月
65,深宇宙
66,北方領土
67,ロシア
68,日本の国境離島
69,日本周辺海域
70,南スーダン
71,シナイ半島
72,ウクライナ
73,東北
74,中部
75,近畿
76,中国・四国
77,九州・沖縄
78,途上国
79,京都府
80,中東・北アフリカ
